,Framecount,Attention
0,50,Normal
1,60,Normal
2,70,Normal
3,80,Normal
4,120,Normal
5,130,Normal
6,140,Normal
7,180,Normal
8,190,Normal
9,200,Normal
10,220,Normal
11,230,Normal
12,240,Normal
13,280,Normal
14,300,Normal
15,310,Normal
16,330,Normal
17,380,Low
18,390,Low
19,400,Low
20,410,Low
21,470,Normal
22,500,Normal
23,510,Normal
24,520,Normal
25,560,Normal
26,570,Normal
27,600,Normal
28,620,Normal
29,680,Normal
30,690,Normal
31,710,Normal
32,720,Normal
33,750,Normal
34,760,Normal
35,790,Normal
36,810,Normal
37,820,Normal
38,830,Normal
39,850,Normal
40,870,Normal
41,880,Normal
42,940,Normal
43,970,Normal
44,990,Normal
45,1000,Normal
46,1020,Normal
47,1030,Normal
48,1040,Normal
49,1170,Normal
50,1210,Normal
51,1220,Normal
52,1230,Normal
53,1240,Normal
54,1250,Normal
55,1360,Normal
56,1370,Normal
57,1390,Normal
58,1530,Normal
59,1580,Normal
60,1620,Normal
61,1630,Normal
62,1660,Normal
63,1670,Normal
64,1690,Normal
65,1700,Normal
66,1710,Normal
67,1750,Normal
68,1760,Normal
69,1830,Normal
70,1850,Normal
71,1870,Normal
72,1880,Normal
73,1900,Normal
74,1920,Normal
75,1940,Normal
