,Framecount,Expression,Probability
0,6,nervous,"tensor([1.0150e-02, 7.0870e-04, 2.7246e-02, 7.5336e-01, 1.7327e-01, 3.5179e-02,
        8.9446e-05])"
1,7,nervous,"tensor([6.6084e-03, 9.6511e-04, 3.8952e-02, 7.5571e-01, 1.5289e-01, 4.4732e-02,
        1.4146e-04])"
2,8,nervous,"tensor([6.4568e-03, 1.1003e-03, 4.7744e-02, 7.3487e-01, 1.6288e-01, 4.6766e-02,
        1.7760e-04])"
3,9,nervous,"tensor([1.0927e-03, 5.0744e-05, 2.7859e-03, 8.8979e-01, 9.7606e-02, 8.6716e-03,
        4.6590e-06])"
4,10,nervous,"tensor([1.0665e-03, 4.5976e-05, 2.5172e-03, 8.8621e-01, 1.0152e-01, 8.6322e-03,
        3.6469e-06])"
5,11,nervous,"tensor([1.0791e-03, 4.9763e-05, 2.3405e-03, 8.7934e-01, 1.0839e-01, 8.7970e-03,
        3.0447e-06])"
6,12,nervous,"tensor([1.1965e-03, 5.2981e-05, 2.3628e-03, 8.7581e-01, 1.1180e-01, 8.7735e-03,
        2.9208e-06])"
7,13,nervous,"tensor([1.1347e-03, 5.5304e-05, 2.4686e-03, 8.7604e-01, 1.1117e-01, 9.1254e-03,
        2.9748e-06])"
8,14,nervous,"tensor([9.2193e-04, 4.7684e-05, 2.2943e-03, 8.8670e-01, 1.0099e-01, 9.0392e-03,
        2.8965e-06])"
9,15,nervous,"tensor([9.2329e-04, 4.6214e-05, 2.3946e-03, 8.8149e-01, 1.0644e-01, 8.7043e-03,
        2.5816e-06])"
10,16,nervous,"tensor([7.0570e-04, 3.8413e-05, 4.3706e-03, 8.9779e-01, 8.7357e-02, 9.7366e-03,
        5.7241e-06])"
11,17,nervous,"tensor([1.5559e-03, 2.4134e-05, 2.1059e-03, 7.9388e-01, 1.9154e-01, 1.0888e-02,
        1.4443e-06])"
12,18,nervous,"tensor([1.2878e-03, 4.6595e-05, 2.6145e-03, 8.3436e-01, 1.4529e-01, 1.6396e-02,
        6.9190e-06])"
13,19,nervous,"tensor([1.5192e-03, 6.0850e-05, 2.4139e-03, 8.7703e-01, 1.0176e-01, 1.7204e-02,
        8.1650e-06])"
14,20,nervous,"tensor([1.4138e-03, 5.2231e-05, 2.0460e-03, 8.7785e-01, 1.0162e-01, 1.7014e-02,
        6.7035e-06])"
15,21,nervous,"tensor([1.3365e-03, 4.8478e-05, 1.9705e-03, 8.8254e-01, 9.8284e-02, 1.5817e-02,
        6.3896e-06])"
16,22,nervous,"tensor([3.0358e-02, 2.0764e-03, 2.7490e-02, 7.0267e-01, 1.7026e-01, 6.6940e-02,
        2.0871e-04])"
17,23,nervous,"tensor([2.4634e-02, 1.0824e-03, 1.7354e-02, 7.4151e-01, 1.7700e-01, 3.8323e-02,
        9.4624e-05])"
18,24,nervous,"tensor([2.7480e-02, 2.4761e-03, 2.4073e-02, 7.2772e-01, 1.4435e-01, 7.3662e-02,
        2.3225e-04])"
19,25,nervous,"tensor([2.3093e-02, 1.0826e-03, 1.8611e-02, 7.5546e-01, 1.6426e-01, 3.7379e-02,
        1.2284e-04])"
20,26,nervous,"tensor([1.8996e-02, 1.0688e-03, 1.7283e-02, 7.7576e-01, 1.4610e-01, 4.0680e-02,
        1.0481e-04])"
21,27,nervous,"tensor([2.3850e-02, 1.0225e-03, 2.0539e-02, 7.5181e-01, 1.7040e-01, 3.2269e-02,
        1.1675e-04])"
22,28,nervous,"tensor([5.8096e-02, 2.8856e-03, 2.0740e-02, 7.0418e-01, 1.6545e-01, 4.8476e-02,
        1.7532e-04])"
23,29,nervous,"tensor([2.5575e-02, 9.6550e-04, 6.8975e-03, 7.5154e-01, 1.6968e-01, 4.5332e-02,
        1.2304e-05])"
24,30,nervous,"tensor([4.7165e-02, 8.2937e-04, 1.4573e-02, 6.1303e-01, 2.9662e-01, 2.7746e-02,
        2.9844e-05])"
25,31,nervous,"tensor([1.8533e-02, 6.5832e-04, 5.5969e-03, 7.9985e-01, 1.3163e-01, 4.3718e-02,
        1.2508e-05])"
26,32,nervous,"tensor([3.7505e-02, 7.7222e-04, 1.1106e-02, 7.3610e-01, 1.8309e-01, 3.1406e-02,
        1.9177e-05])"
27,33,nervous,"tensor([2.9031e-02, 3.5485e-04, 1.6045e-02, 7.0991e-01, 2.2097e-01, 2.3667e-02,
        2.3710e-05])"
28,34,nervous,"tensor([2.8712e-02, 3.7626e-04, 1.7634e-02, 7.0700e-01, 2.2255e-01, 2.3702e-02,
        2.5746e-05])"
29,35,nervous,"tensor([3.7250e-02, 7.7030e-04, 1.6457e-02, 6.2872e-01, 2.8333e-01, 3.3449e-02,
        3.0561e-05])"
30,36,nervous,"tensor([2.4805e-03, 8.2636e-06, 3.3576e-03, 8.0926e-01, 1.7490e-01, 9.9877e-03,
        2.1973e-06])"
31,37,nervous,"tensor([2.6297e-03, 9.6175e-06, 3.2026e-03, 8.0789e-01, 1.7704e-01, 9.2260e-03,
        2.0532e-06])"
32,38,nervous,"tensor([2.6871e-03, 1.0305e-05, 3.6403e-03, 8.1004e-01, 1.7482e-01, 8.8091e-03,
        2.1851e-06])"
33,39,nervous,"tensor([4.2102e-03, 2.5180e-05, 3.4726e-03, 8.3868e-01, 1.4486e-01, 8.7449e-03,
        4.3937e-06])"
