,Framecount,Attention
0,0,Normal
1,50,Normal
2,60,Normal
3,70,Normal
4,80,Normal
5,90,Normal
6,100,Normal
7,180,Low
8,190,Low
9,200,Low
10,210,Low
11,220,Low
12,230,Low
13,240,Low
14,250,Low
15,260,Low
16,270,Low
17,280,Low
18,290,Low
19,300,Low
20,310,Low
21,320,Low
22,330,Low
23,340,Low
24,350,Low
25,360,Low
26,370,Low
27,380,Low
28,390,Low
29,400,Low
30,410,Low
31,420,Low
32,430,Low
33,440,Low
34,450,Low
35,460,Normal
36,470,Normal
37,480,Normal
38,490,Normal
39,540,Normal
40,590,Low
41,600,Low
42,610,Low
43,620,Low
44,630,Low
45,640,Low
46,650,Low
47,670,Normal
48,690,Normal
49,710,Normal
50,760,Low
51,770,Normal
52,790,Normal
53,810,Normal
54,850,Low
55,860,Normal
56,910,Low
57,920,Low
58,930,Low
59,940,Low
60,1010,Low
61,1020,Low
62,1030,Normal
63,1080,Low
64,1090,Low
65,1100,Low
66,1110,Low
67,1120,Low
68,1130,Low
69,1140,Low
70,1150,Low
71,1160,Low
72,1170,Low
73,1180,Low
74,1190,Low
75,1200,Low
76,1210,Low
77,1220,Low
78,1280,Low
79,1290,Low
80,1300,Normal
81,1310,Normal
82,1320,Normal
83,1430,Low
84,1440,Low
85,1450,Low
86,1460,Low
87,1480,Normal
88,1550,Low
89,1560,Low
90,1570,Normal
91,1580,Normal
92,1590,Normal
93,1680,Low
94,1690,Low
95,1700,Low
96,1710,Low
97,1720,Normal
