,Framecount,Expression,Probability,EAR
0,0,neutral,"tensor([2.4397e-02, 1.5057e-03, 1.4838e-02, 4.1450e-01, 5.1637e-01, 2.8238e-02,
        1.4499e-04])",0.3311481080913376
1,10,neutral,"tensor([2.3867e-02, 1.3096e-03, 1.3260e-02, 2.9339e-01, 6.4640e-01, 2.1564e-02,
        2.1084e-04])",0.28997231343723634
2,20,neutral,"tensor([2.6619e-02, 9.7665e-04, 1.3200e-02, 2.1946e-01, 7.2331e-01, 1.6305e-02,
        1.3083e-04])",0.2923327560567088
3,30,neutral,"tensor([1.6392e-02, 1.0327e-03, 1.2593e-02, 3.7455e-01, 5.7145e-01, 2.3925e-02,
        5.7202e-05])",0.2793022127567475
4,40,neutral,"tensor([2.0775e-02, 9.3893e-04, 9.0681e-03, 2.7210e-01, 6.7889e-01, 1.8151e-02,
        7.6526e-05])",0.2857142857142857
5,50,neutral,"tensor([1.4667e-02, 6.0762e-04, 1.8042e-02, 3.0698e-01, 6.4107e-01, 1.8539e-02,
        8.8511e-05])",0.3076923076923077
6,60,neutral,"tensor([4.0470e-02, 1.6386e-03, 1.8657e-02, 2.6978e-01, 6.4756e-01, 2.1766e-02,
        1.3051e-04])",0.3076923076923077
7,70,neutral,"tensor([3.8895e-02, 1.8504e-03, 3.0190e-02, 2.6291e-01, 6.3390e-01, 3.2021e-02,
        2.2983e-04])",0.30678599553894814
8,80,neutral,"tensor([1.9636e-02, 1.1998e-03, 1.6766e-02, 2.3948e-01, 7.0539e-01, 1.7440e-02,
        8.2840e-05])",0.3072391516156279
9,90,neutral,"tensor([2.8868e-02, 8.5476e-04, 1.5692e-02, 3.2867e-01, 6.1210e-01, 1.3771e-02,
        4.9558e-05])",0.31005972356957046
10,100,neutral,"tensor([1.7091e-02, 1.1204e-03, 1.3367e-02, 3.2311e-01, 6.2426e-01, 2.0991e-02,
        6.0607e-05])",0.311506880777893
11,110,neutral,"tensor([1.2996e-02, 2.6868e-04, 1.5324e-02, 4.3283e-01, 5.3084e-01, 7.7030e-03,
        4.3928e-05])",0.2880083823848587
12,120,neutral,"tensor([0.1181, 0.0008, 0.0528, 0.1384, 0.6833, 0.0057, 0.0008])",0.2834329909684644
