,Framecount,Expression,Probability
0,50,nervous,"tensor([0.2944, 0.0278, 0.0051, 0.5601, 0.0236, 0.0884, 0.0006])"
1,60,nervous,"tensor([6.8248e-02, 4.4242e-02, 3.4696e-03, 5.7329e-01, 9.0987e-02, 2.1949e-01,
        2.7814e-04])"
2,70,nervous,"tensor([1.5874e-01, 6.3834e-04, 3.5062e-03, 6.4548e-01, 1.4769e-01, 4.3722e-02,
        2.2604e-04])"
3,80,confident,"tensor([7.8764e-01, 1.0547e-03, 8.6230e-03, 1.3685e-01, 1.8953e-02, 4.6791e-02,
        8.8650e-05])"
4,110,confident,"tensor([0.6432, 0.0007, 0.0598, 0.1884, 0.0027, 0.1045, 0.0007])"
5,120,nervous,"tensor([0.1172, 0.0142, 0.0171, 0.6068, 0.0751, 0.1690, 0.0006])"
6,130,nervous,"tensor([2.7383e-01, 4.5525e-04, 4.0743e-03, 6.4008e-01, 2.3791e-02, 5.7289e-02,
        4.8842e-04])"
7,140,confident,"tensor([0.4146, 0.0495, 0.0786, 0.1838, 0.0130, 0.2570, 0.0034])"
8,150,nervous,"tensor([1.0612e-01, 2.2533e-04, 6.1378e-03, 6.8243e-01, 5.6600e-02, 1.4635e-01,
        2.1336e-03])"
9,160,confident,"tensor([4.7270e-01, 4.4849e-04, 5.3477e-03, 3.3889e-01, 6.9075e-02, 1.1202e-01,
        1.5169e-03])"
10,170,nervous,"tensor([0.2787, 0.0015, 0.0228, 0.5216, 0.0141, 0.1607, 0.0006])"
11,180,nervous,"tensor([4.7459e-02, 6.5466e-04, 5.4259e-03, 7.9495e-01, 1.9440e-02, 1.3091e-01,
        1.1613e-03])"
12,190,nervous,"tensor([4.4653e-02, 2.3521e-04, 1.3002e-03, 8.4108e-01, 4.7378e-02, 6.5232e-02,
        1.2447e-04])"
13,200,confident,"tensor([5.0676e-01, 1.0177e-03, 2.0733e-02, 3.3401e-01, 7.8066e-03, 1.2917e-01,
        4.9957e-04])"
14,210,scared,"tensor([0.1142, 0.0064, 0.0520, 0.3529, 0.0324, 0.4331, 0.0090])"
15,220,nervous,"tensor([9.2186e-02, 5.0474e-04, 1.1187e-02, 6.6890e-01, 1.8329e-02, 2.0860e-01,
        2.9020e-04])"
16,230,nervous,"tensor([1.1700e-02, 4.6161e-04, 4.3460e-03, 8.4078e-01, 2.4005e-02, 1.1839e-01,
        3.1700e-04])"
17,240,scared,"tensor([5.3100e-02, 4.9500e-03, 2.1840e-01, 3.5743e-01, 2.3125e-03, 3.6347e-01,
        3.4716e-04])"
18,280,nervous,"tensor([6.4130e-02, 1.2728e-02, 1.2501e-02, 7.4004e-01, 3.1009e-03, 1.6735e-01,
        1.5614e-04])"
19,290,confident,"tensor([9.9716e-01, 3.8563e-04, 9.3385e-05, 9.5575e-04, 1.0515e-03, 2.0496e-04,
        1.4509e-04])"
20,300,confident,"tensor([9.9663e-01, 4.4764e-04, 1.1686e-04, 2.2179e-03, 3.7813e-04, 1.7327e-04,
        3.7242e-05])"
21,310,confident,"tensor([9.2836e-01, 6.2795e-03, 2.4083e-03, 4.7379e-02, 6.7697e-03, 7.9849e-03,
        8.1423e-04])"
22,320,confident,"tensor([9.8545e-01, 1.2024e-02, 2.7576e-04, 1.2344e-03, 2.3724e-04, 6.7076e-04,
        1.0529e-04])"
23,330,confident,"tensor([9.3589e-01, 1.0677e-02, 1.8508e-03, 4.2787e-02, 1.3993e-03, 7.0365e-03,
        3.5574e-04])"
24,340,confident,"tensor([9.9158e-01, 6.9801e-04, 2.1039e-04, 4.3155e-03, 2.4912e-03, 6.4144e-04,
        6.8185e-05])"
25,350,confident,"tensor([9.9473e-01, 4.1118e-03, 1.7943e-04, 2.5749e-04, 9.5952e-05, 5.0542e-04,
        1.2150e-04])"
26,360,confident,"tensor([9.8831e-01, 7.7495e-03, 1.2607e-04, 1.5241e-03, 1.5988e-03, 6.0415e-04,
        8.5384e-05])"
27,370,confident,"tensor([9.7127e-01, 6.8435e-03, 3.4140e-04, 1.3589e-02, 1.0489e-03, 6.8995e-03,
        1.1813e-05])"
28,380,confident,"tensor([9.8786e-01, 2.8229e-03, 6.6731e-05, 7.0352e-03, 1.3941e-04, 2.0533e-03,
        1.8134e-05])"
29,390,confident,"tensor([9.7028e-01, 2.6890e-02, 3.3858e-04, 1.2368e-03, 5.0973e-04, 6.7257e-04,
        7.1946e-05])"
30,400,confident,"tensor([9.8110e-01, 1.7326e-02, 1.4995e-04, 5.1058e-04, 4.7114e-04, 3.7037e-04,
        7.0383e-05])"
31,410,confident,"tensor([9.8625e-01, 3.2742e-03, 4.6376e-04, 2.2564e-03, 6.6486e-03, 1.0566e-03,
        4.6723e-05])"
32,420,nervous,"tensor([1.1396e-01, 9.1688e-04, 5.0252e-04, 8.6444e-01, 3.4284e-03, 1.6733e-02,
        1.1831e-05])"
33,430,nervous,"tensor([0.0747, 0.0029, 0.0068, 0.8741, 0.0292, 0.0111, 0.0012])"
34,440,confident,"tensor([9.4000e-01, 2.4289e-02, 1.3548e-03, 1.1525e-02, 5.4153e-04, 2.2165e-02,
        1.2694e-04])"
35,450,confident,"tensor([3.2630e-01, 3.2173e-02, 3.0447e-02, 2.9587e-01, 7.7256e-03, 3.0723e-01,
        2.4879e-04])"
36,460,confident,"tensor([0.5582, 0.2998, 0.0148, 0.0456, 0.0170, 0.0630, 0.0016])"
37,470,scared,"tensor([3.0293e-02, 1.3436e-01, 1.4948e-01, 1.3352e-01, 2.5244e-03, 5.4947e-01,
        3.5061e-04])"
38,480,nervous,"tensor([0.1305, 0.1087, 0.0109, 0.4908, 0.0168, 0.2416, 0.0007])"
39,490,nervous,"tensor([0.0192, 0.0031, 0.0213, 0.9026, 0.0094, 0.0416, 0.0027])"
40,500,nervous,"tensor([0.0165, 0.0149, 0.0161, 0.8397, 0.0356, 0.0735, 0.0037])"
41,510,nervous,"tensor([0.0328, 0.1243, 0.0503, 0.4429, 0.1408, 0.2004, 0.0086])"
42,520,scared,"tensor([0.0303, 0.2543, 0.0814, 0.1298, 0.0159, 0.4867, 0.0016])"
43,530,frustrated,"tensor([0.0822, 0.0574, 0.4312, 0.1280, 0.0062, 0.2939, 0.0010])"
44,540,scared,"tensor([0.0743, 0.1023, 0.3572, 0.0961, 0.0051, 0.3641, 0.0009])"
45,550,nervous,"tensor([0.0770, 0.0050, 0.0124, 0.7735, 0.0857, 0.0439, 0.0025])"
46,560,confident,"tensor([8.7687e-01, 1.0842e-01, 6.5138e-04, 8.6336e-03, 1.4840e-03, 3.5818e-03,
        3.6499e-04])"
47,570,confident,"tensor([0.3929, 0.1402, 0.0128, 0.3547, 0.0084, 0.0905, 0.0005])"
48,580,nervous,"tensor([0.1014, 0.0689, 0.0469, 0.6042, 0.0125, 0.1638, 0.0023])"
49,590,scared,"tensor([1.2750e-02, 2.1622e-01, 6.6527e-03, 3.6472e-01, 1.4010e-02, 3.8533e-01,
        3.0593e-04])"
50,600,nervous,"tensor([0.0256, 0.0095, 0.0098, 0.8581, 0.0166, 0.0788, 0.0017])"
51,610,nervous,"tensor([0.1560, 0.0091, 0.0212, 0.5641, 0.1563, 0.0835, 0.0098])"
52,620,nervous,"tensor([0.2096, 0.0713, 0.0149, 0.5513, 0.0292, 0.1224, 0.0012])"
53,630,neutral,"tensor([0.0888, 0.0357, 0.0317, 0.2919, 0.3252, 0.2226, 0.0040])"
54,640,nervous,"tensor([2.5794e-02, 1.6433e-02, 2.8500e-02, 5.7581e-01, 1.6469e-02, 3.3661e-01,
        3.8584e-04])"
55,650,nervous,"tensor([0.1787, 0.0149, 0.0232, 0.6089, 0.0935, 0.0761, 0.0047])"
56,660,nervous,"tensor([1.1046e-01, 1.0976e-03, 3.8251e-03, 8.5278e-01, 2.4411e-02, 6.9090e-03,
        5.1465e-04])"
57,670,nervous,"tensor([1.9388e-03, 1.5732e-03, 6.4977e-03, 8.5406e-01, 2.6025e-02, 1.0971e-01,
        1.8751e-04])"
58,680,nervous,"tensor([9.0843e-03, 6.1706e-03, 7.3538e-03, 8.9150e-01, 2.2198e-02, 6.3638e-02,
        5.3503e-05])"
59,690,nervous,"tensor([2.7354e-02, 7.4982e-03, 1.7783e-02, 8.1641e-01, 1.0485e-02, 1.2030e-01,
        1.6872e-04])"
60,700,nervous,"tensor([2.7203e-02, 1.4220e-03, 1.3600e-03, 8.9844e-01, 5.1874e-02, 1.9650e-02,
        5.2976e-05])"
61,710,nervous,"tensor([2.0295e-02, 1.2513e-02, 3.0664e-03, 8.7688e-01, 1.8029e-03, 8.5332e-02,
        1.0973e-04])"
62,720,nervous,"tensor([5.9562e-02, 1.3064e-02, 8.0530e-03, 8.2273e-01, 7.5221e-03, 8.8821e-02,
        2.4608e-04])"
63,730,confident,"tensor([0.5191, 0.2011, 0.0072, 0.2006, 0.0094, 0.0617, 0.0010])"
